Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
BOT;Bottighofen;BOT;Bottighofen;824;97.51655;Romanshorn - Konstanz;SBB CFF;2733337.72;1278179.914;1278179.91114,2733337.72065;8506127;6127;Bottighofen;http://lod.opentransportdata.swiss/didok/8506127
BRLO;Brig-Lotschberg (Abzw);BR;Brig;100;145.246;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2642015.78;1129941.936;1129941.9411,2642015.78062;8515310;15310;Brig-Lötschberg (Abzw);http://lod.opentransportdata.swiss/didok/8515310
BRO;Bronschhofen;BRO;Bronschhofen;830;2.57079;Wil - Weinfelden;SBB CFF;2720306.222;1259520.274;1259520.27113,2720306.22064;8506181;6181;Bronschhofen;http://lod.opentransportdata.swiss/didok/8506181
BRTU;Brig Tunnel;BRTU;Brig Tunnel;107;147.13536;Brig-Lotschberg (Abzw) Brig Tunnel;SBB CFF;2643766.775;1130510.42;1130510.4211,2643766.77062;8501610;1610;Brig Tunnel;http://lod.opentransportdata.swiss/didok/8501610
BRUA;Brunnen Sud (Abzw);BRU;Brunnen;600;21.45;Immensee - Bellinzona - Chiasso;SBB CFF;2689124.64;1205166.085;1205166.09112,2689124.64064;8515380;15380;Brunnen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515380
BSDO;Bassersdorf Ost (Vzw);BSDO;Bassersdorf Ost (Vzw);9783;252.16226;Bruttenertunnel Sud;SBB CFF;2689955.1;1254784.65;1254784.65114,2689955.10062;8508328;8328;Bassersdorf Ost (Vzw);http://lod.opentransportdata.swiss/didok/8508328
BSDS;Basel SBB Dreispitz;BSDS;Basel SBB Dreispitz;528;-0.01;Ruchfeld - Basel SBB Dreispitz;SBB CFF;2612696.705;1263940.498;1263940.50116,2612696.70056;8500400;400;Basel SBB Dreispitz;http://lod.opentransportdata.swiss/didok/8500400
BSGO;Basel SBB GB Ost;BSGB;Basel SBB GB;511;2.18599;Basel SBB - Basel GB - Basel RB;SBB CFF;2613335.315;1265779.311;1265779.31117,2613335.32056;8500015;15;Basel SBB GB Ost;http://lod.opentransportdata.swiss/didok/8500015
BSHA;Hagnau (Abzw);BSJA;Basel St. Jakob;521;2.76121;Umfahrung Sud: Basel SBB RB I - Muttenz;SBB CFF;2613883.909;1265661.376;1265661.38116,2613883.91056;8505032;5032;Hagnau (Abzw);http://lod.opentransportdata.swiss/didok/8505032
BSJA;Basel St. Jakob;BSJA;Basel St. Jakob;511;2.47827;Basel SBB - Basel GB - Basel RB;SBB CFF;2613620.225;1265780.992;1265780.99117,2613620.23056;8500038;38;Basel St Jakob;http://lod.opentransportdata.swiss/didok/8500038
BSO;Basel SBB Ost (Abzw);BS;Basel SBB;230;122.46443;Delemont Est - Basel SBB Ost;SBB CFF;2611819.423;1266035.449;1266035.45116,2611819.42055;8515387;15387;Basel SBB Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515387
BSO;Basel SBB Ost (Abzw);BS;Basel SBB;514;142.67805;SNCF Verbindungslinie;SBB CFF;2611819.423;1266035.449;1266035.45116,2611819.42055;8515387;15387;Basel SBB Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515387
BSOS;Basel SBB RB II Ost (Abzw);BSRB;Basel SBB RB;522;7.02762;Umfahrung Nord: Gellert - Pratteln;SBB CFF;2617712.723;1263996.845;1263996.84117,2617712.72056;8515388;15388;Basel SBB RB II Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515388
BTW;Bettwiesen;BTW;Bettwiesen;830;5.45048;Wil - Weinfelden;SBB CFF;2719206.786;1262075.487;1262075.49113,2719206.79064;8506182;6182;Bettwiesen;http://lod.opentransportdata.swiss/didok/8506182
BU;Buchs SG;BU;Buchs SG;880;15.86893;Sargans Ost - St.Gallen;SBB CFF;2754651.563;1226171.291;1226171.29111,2754651.56068;8509404;9404;Buchs SG;http://lod.opentransportdata.swiss/didok/8509404
BU;Buchs SG;BU;Buchs SG;882;18.526;Feldkirch - Buchs SG;SBB CFF;2754651.563;1226171.291;1226171.29111,2754651.56068;8509404;9404;Buchs SG;http://lod.opentransportdata.swiss/didok/8509404
BUDZ;Burgau Deponie ZAB (Agl);BUDZ;Burgau Deponie ZAB (Agl);850;93.21929;St.Gallen - Winterthur Nord;SBB CFF;2734055.841;1252250.981;1252250.98112,2734055.84066;8506219;6219;Burgau Deponie ZAB (Agl);http://lod.opentransportdata.swiss/didok/8506219
BUE;Bulach;BUE;Bulach;760;20.27248;Zurich Hardbrucke  - Bulach;SBB CFF;2682660.579;1264267.926;1264267.93115,2682660.58061;8503400;3400;Bülach;http://lod.opentransportdata.swiss/didok/8503400
BUER;Buren an der Aare;BUER;Buren an der Aare;415;95.71034;Wanzwil (Abzw) - Solothurn - Busswil;SBB CFF;2594888.031;1220799.832;1220799.83116,2594888.03055;8500221;221;Büren an der Aare;http://lod.opentransportdata.swiss/didok/8500221
BW;Beinwil am See;BW;Beinwil am See;651;27.20359;Hubeli - Beinwil - Lenzburg;SBB CFF;2657787.244;1235427.055;1235427.05115,2657787.2406;8502034;2034;Beinwil am See;http://lod.opentransportdata.swiss/didok/8502034
BYSC;Bussigny-Scheuchzer (bif);BY;Bussigny;165;14.50609;Lausanne-Triage Est - Bussigny-Scheu.;SBB CFF;2532268.258;1155225.247;1155225.25114,2532268.26051;8515313;15313;Bussigny-Scheuchzer (bif);http://lod.opentransportdata.swiss/didok/8515313
CAMN;Camorino Nord;CAMO;Camorino (dira);591;227.24318;Verbindungslinie CBT Est Camorino Nord;SBB CFF;2719509.749;1113079.876;1113079.88107,2719509.75069;8515977;15977;Camorino Nord;http://lod.opentransportdata.swiss/didok/8515977
CDO;Cadenazzo Ovest (bif);CD;Cadenazzo;630;161.12861;Giubiasco - Locarno;SBB CFF;2714475.879;1112521.245;1112521.25107,2714475.88068;8515391;15391;Cadenazzo Ovest (bif);http://lod.opentransportdata.swiss/didok/8515391
CEL;Celigny;CEL;Celigny;150;43.45076;Lausanne - Geneve-Aeroport;SBB CFF;2504658.576;1133708.5621;1133708.56114,2504658.58049;8501024;1024;Céligny;http://lod.opentransportdata.swiss/didok/8501024
CF;La Chaux-de-Fonds;CF;La Chaux-de-Fonds;235;44.033;Tavannes - Le Noirmont;SBB CFF;2553490.0687;1216557.0295;1216557.03117,2553490.07052;8504314;4314;La Chaux-de-Fonds;http://lod.opentransportdata.swiss/didok/8504314
CH;Chur;CH;Chur;920;13.87121;Landquart RhB - Chur - Disentis;SBB CFF;2759397.951;1191228.46;1191228.46109,2759397.95069;8509000;9000;Chur;http://lod.opentransportdata.swiss/didok/8509000
CHAR;Charrat-Fully;CHAR;Charrat-Fully;100;70.8598;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2575870.957;1108417.085;1108417.0911,2575870.96056;8501501;1501;Charrat-Fully;http://lod.opentransportdata.swiss/didok/8501501
CHEB;Chene-Bourg;CHEB;Chene-Bourg;152;73.11;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB CFF;2504180.0;1116886.461;1116886.46113,2504180.00049;8516274;16274;Chêne-Bourg;http://lod.opentransportdata.swiss/didok/8516274
CHNE;Chatelaine (bif);CHNE;Chatelaine (bif);150;63.98053;Lausanne - Geneve-Aeroport;SBB CFF;2496907.199;1119288.56;1119288.56113,2496907.20049;8501027;1027;Châtelaine (bif);http://lod.opentransportdata.swiss/didok/8501027
