BPUIC;lon;lat
8505256;8.944844693;46.44446444
8575272;8.932704927;45.98546973
8591637;8.93283087;45.98488325
8595910;8.947223506;46.5056414
8580589;8.943446972;46.364551
8575317;8.934401081;46.03567806
8589103;8.953001408;46.70670672
8506978;8.979159657;47.61833181
8591801;8.933415545;45.98833037
8571154;7.937138534;46.12757025
8579699;7.961072838;47.23506718
8578744;8.140447991;47.38645946
8580895;8.141068439;47.41746887
8575289;8.9339171;46.00242215
8557113;7.571938328;47.30828153
8579955;8.934467348;46.01639634
8592571;8.656383548;47.69105691
8575168;8.938626805;46.17405269
8575276;8.934023442;45.99356759
8570128;8.937258686;46.11064947
8591640;8.933856069;45.98272833
8572590;8.425258773;47.56346294
8572942;8.414701195;46.97948617
8506157;8.981434885;47.66864742
8594973;8.946948968;46.44290694
8502778;8.4203261;47.26205164
8590846;8.423154778;47.39116104
8580535;7.576069389;46.65406396
8571636;7.576550163;46.65819233
8507998;7.57621797;46.5011479
8508768;7.935658918;46.80233861
8502557;8.141236753;47.41616364
8572470;8.141943138;47.43956296
8572967;8.138609434;47.18285427
8594846;8.138166377;47.13179152
8580329;8.144827702;47.58612412
8580140;8.753032194;46.4829706
8503736;8.770144336;47.12747844
8583354;8.764642784;46.87178424
8583568;8.758588651;46.49078744
8530410;8.771429636;47.00118289
8575968;8.777901506;47.2494734
8594538;8.83925703;47.26060058
8573519;8.843990937;47.43748057
8570534;8.13420356;46.73719049
8590402;7.543738176;46.89878217
8578897;8.132994092;46.39805179
8589089;8.133143309;46.40158629
8572472;8.146950015;47.43823722
8571576;8.138421017;46.75770212
8572471;8.147578724;47.43666834
8505743;8.148462013;46.3817273
8572101;7.21997641;47.42434588
8582062;7.552082797;46.87910161
8571733;7.546984636;46.95381191
8583646;9.597200384;46.60168786
8506481;9.202082319;47.38409121
8574465;9.395341245;47.43143321
8573239;8.520797831;47.47634249
8575381;8.936543325;46.01062858
8578522;9.050032172;47.4506703
8582960;9.430250237;46.71988529
8509635;9.448544132;47.21081433
8571692;7.370735059;46.81537737
8571885;6.831056738;47.1073423
8593669;6.825626912;47.09026752
8593666;6.825740435;47.09300267
8593667;6.825662491;47.10669292
8581067;7.371502958;46.20822241
8588746;6.839355702;46.46472154
8530964;6.842950667;46.16903712
8571793;6.834048669;46.96980216
8593687;6.831956358;47.10933499
8593689;6.83333735;47.10256893
8593996;6.840476585;46.4681369
8557079;6.838975029;46.70455718
8593688;6.833557854;47.10054618
8531211;6.845254626;46.1750405
8571887;6.834808716;47.11692396
8579174;6.842333555;46.4626682
8593694;6.835100447;47.1120951
8579790;6.836590745;46.98682586
8594354;9.396039005;47.45076463
8576887;7.825754107;46.68060367
8594863;6.83722447;46.96901832
8593701;6.838065886;47.10850362
8571792;6.839838478;46.9679346
8579658;6.840215558;46.94122914
8593987;6.845685711;46.45969916
8594866;6.840644113;46.9569734
8593993;6.846693601;46.45919167
8593706;6.840349884;47.10808379
8595961;6.848887288;46.46931447
8579181;6.84876361;46.48304153
8574742;9.612449065;46.96040678
8509897;9.606779838;46.81837969
8579644;6.844242642;46.94405674
8579193;6.849041688;46.51247743
8579172;6.849507708;46.47690122
8583820;6.844233336;46.99583421
8571895;6.84325294;47.14788427
8579191;6.850477416;46.50626875
8594498;6.843450076;47.09470613
8579643;6.845884091;46.94290485
8530055;6.853614936;46.29224619
8570404;6.848667183;46.77116703
8593712;6.845253375;47.11261584
8593991;6.852449571;46.45777327
8579173;6.852389246;46.47775278
8504958;6.852301217;46.48947394
8595118;6.853179797;46.46727669
8579195;6.852922671;46.52588337
8504954;6.853585499;46.47911734
8593949;6.855865716;46.45724215
8579183;6.8588149;46.38611794
8500708;6.860971538;46.19000127
8593543;6.853348771;46.94732409
8577677;6.857343959;46.5934378
8570384;6.855656942;46.76045319
8504553;6.854084778;46.93885416
8580652;6.861064398;46.31535893
8570598;6.860935131;46.33480734
8593544;6.855311325;46.945625
8570442;6.85967119;46.54316305
8575508;6.861401581;46.38980149
8500740;6.863364141;46.20748341
8595113;6.860563759;46.47317091
8595117;6.861805739;46.47636178
8593952;6.862444597;46.45428919
8504790;6.862551415;46.54570554
8579741;6.862568815;46.56974247
8580653;6.865765861;46.3164264
8593953;6.864571383;46.45870796
8593951;6.858266027;46.45190194
8593976;6.864217352;46.44914356
8570451;6.864048636;46.57531838
8530058;6.867321179;46.31421229
8583819;6.860378697;47.00676533
8595111;6.866153829;46.47399993
8504694;6.864073366;46.69186777
8593968;6.866540534;46.46083195
8570452;6.868353717;46.57653654
8595960;6.871099705;46.45434189
8595959;6.871235714;46.4525434
8504962;6.87095588;46.49409383
8583699;6.866461992;46.98756388
8580690;6.871227099;46.54643295
8504741;6.866776433;46.98519967
8504669;6.874156304;46.31859166
8577676;6.871197446;46.60261162
8577621;6.869043573;46.81402694
8593957;6.872784954;46.45997273
8593961;6.873912132;46.45175615
8593955;6.873965239;46.44791518
8570443;6.873084473;46.54959976
8531274;9.607147565;46.81514214
8519226;7.221292795;47.10347615
8504976;6.872005157;46.65494407
8504723;6.870868096;46.81620398
8530740;6.875812713;46.36415495
8588820;6.871538604;46.80606028
8580772;6.869659391;46.98480026
8582531;6.87667528;46.31982765
8591902;6.875287815;46.49837947
8504697;6.874208083;46.63795304
8587436;6.869579168;47.07277367
8504902;6.87333458;46.80844404
8504150;6.880779945;46.78285222
8570471;6.882494354;46.70066718
8504936;6.883188581;46.66378811
8593915;6.885498069;46.44262858
8500709;6.888381667;46.20772525
8504552;6.88161723;46.97379484
8593905;6.88692146;46.46256131
8593914;6.888409928;46.45189049
8588865;6.886838694;46.61230519
8502627;9.027770738;46.24956353
8504955;6.888442;46.50760184
8504665;6.89077693;46.30685296
8593908;6.889240617;46.45852446
8593917;6.889766045;46.44138093
8593913;6.891493258;46.45459519
8594160;6.892064837;46.44053745
8594878;6.88602141;46.98510537
8570374;6.889173313;46.76242794
8579210;6.892648974;46.46131166
8570590;6.893813213;46.34961589
8504798;6.891947121;46.58612519
8579197;6.893953822;46.44161706
8504746;6.888486524;46.98697929
8500704;6.896281745;46.23795348
8579199;6.896240167;46.44460566
8577691;6.894256854;46.65722978
8579198;6.896412011;46.44304121
8594877;6.891756842;46.98468318
8570373;6.894119784;46.75871851
8596074;6.895689874;46.68616688
8570589;6.89965095;46.3556621
8570445;6.897781412;46.565103
8504094;6.897544884;46.65115537
8557105;6.900445365;46.37901908
8595971;6.899836654;46.45197243
8591840;6.893227914;47.14356326
8577718;6.895795755;46.52780592
8570474;6.898034311;46.7273873
8591841;6.893751824;47.15165228
8577674;6.899262719;46.61656589
8580445;6.901957384;46.36678293
8579208;6.901048722;46.45835623
8504563;6.896651851;46.89973593
8557139;6.898258154;46.75720896
8594275;7.221248985;47.14328746
8504093;6.899007382;46.69035667
8504965;6.8971744;46.5215964
8504155;6.898827947;46.71999662
8593613;6.893535747;46.98812788
8588817;6.893660104;47.0572931
8570454;6.900135806;46.59188565
8570580;6.902062163;46.45460978
8593943;6.903937809;46.43999143
8504772;6.919263946;46.6964511
8579609;6.895631184;47.05761729
8570467;6.902201931;46.69381714
8501189;6.904492175;46.44315158
8591806;6.905744938;46.51942404
8591807;6.906126732;46.52299717
8593925;6.90714509;46.43803645
8583689;6.907601826;46.45248589
8570578;6.908488044;46.45369548
8504551;6.903557307;46.97976458
8504713;6.908928615;46.52167892
8593939;6.910212022;46.43843762
8570579;6.910165733;46.44584097
8570415;6.905835366;46.88816601
8596060;6.907912132;46.68749296
8593929;6.909975347;46.43602564
8577688;6.90847229;46.67972329
8593931;6.911190007;46.43155138
8593945;6.911285233;46.43913531
8570403;6.908335619;46.79582951
8593938;6.911860541;46.43617836
8595676;6.904790464;47.17648535
8580471;6.910284189;46.68688331
8593921;6.912888838;46.43747854
8500705;6.91508019;46.236576
8571233;7.22225837;47.06032908
8591842;6.906091007;47.17703109
8570465;6.911946816;46.69331394
8583485;6.910244632;46.88810554
8570617;6.915956574;46.31523047
8580466;6.912459524;46.69034774
8570970;7.038424955;46.08268844
8570967;7.038906069;46.07878605
8588828;7.033844456;46.80114817
8583498;7.031575777;47.11087436
8583723;7.033524068;46.87662785
8583754;7.032170041;47.11934975
8504567;7.033072084;47.01967841
8583594;7.039725541;46.13452599
8595973;7.15486185;46.68669557
8587450;7.153805783;46.90828647
8584840;7.157002015;46.34795195
8589163;7.155190934;46.81769768
8589154;7.155316825;46.79634284
8589161;7.155446896;46.8039623
8582578;7.156492222;46.63257327
8571353;7.2786416;47.00125255
8504603;7.279667888;46.75845315
8577973;7.387264174;47.19987113
8576481;7.387369916;47.28073266
8530129;7.476989793;46.12151946
8504265;6.912993087;46.65979179
8593923;6.91613302;46.4303059
8593927;6.916460073;46.43146787
8593932;6.916620256;46.43374455
8570402;6.913326201;46.79582564
8579054;6.918861449;46.23024246
