BPUIC;y_Koord_Ost;x_Koord_Nord
8570651;2565932;1120264
8579685;2566049;1118048
8504866;2566105;1174035
8531377;2566122;1135740
8501864;2566137;1100793
8504796;2566165;1180560
8571913;2566170;1209252
8583658;2566207;1234315
8570637;2566250;1122300
8557094;2566319;1206957
8571934;2566353;1233856
8595106;2566365;1132210
8530942;2566391;1134396
8583659;2566404;1234005
8587544;2566411;1222487
8570527;2566433;1198928
8501486;2566462;1134333
8596061;2566465;1169630
8580765;2566468;1119071
8531386;2566497;1134829
8504952;2566506;1220182
8572694;2631740;1238445
8570650;2566342;1118410
8595694;2566520;1177600
8595107;2566555;1132375
8588526;2665656;1214571
8593486;2566590;1106670
8595109;2566625;1132640
8581558;2566629;1118283
8595436;2566638;1106357
8576781;2566708;1234231
8530675;2566573;1106741
8504096;2566733;1172925
8583814;2566734;1233872
8576772;2566747;1222384
8582551;2566749;1101126
8571915;2566751;1210771
8504548;2566764;1178623
8595105;2566775;1132335
8580444;2566821;1115755
8570611;2566843;1128700
8595108;2566875;1132780
8583305;2566888;1249171
8595100;2566890;1132180
8500895;2566891;1222594
8501974;2566920;1132685
8505236;2566935;1134978
8576773;2566944;1222124
8505640;2705196;1132765
8596081;2566964;1233827
8580221;2566968;1116103
8593488;2567010;1106860
8571933;2567071;1233601
8570982;2567078;1101304
8594260;2603712;1201577
8588730;2681590;1223500
8570612;2567079;1128937
8595110;2567105;1132710
8595677;2567113;1234491
8580222;2567117;1116686
8570638;2567117;1122291
8595505;2567117;1229277
8595101;2567135;1132285
8576770;2567220;1222914
8577796;2567272;1179092
8504953;2567300;1219715
8575219;2567344;1122005
8570630;2567344;1132437
8596062;2567348;1169565
8570668;2567350;1117374
8531379;2567402;1135059
8570666;2567462;1118813
8570631;2567564;1132874
8570669;2567578;1117079
8570981;2567587;1101728
8571916;2567592;1211823
8504688;2567603;1125642
8557095;2567608;1206371
8557099;2567612;1132258
8576768;2567647;1228777
8576782;2567650;1234750
8570613;2567662;1128696
8593489;2567680;1107560
8582712;2567683;1122203
8570980;2567686;1101781
8577709;2567717;1172730
8589845;2667171;1210241
8577153;2667219;1213744
8571932;2567725;1233550
8504748;2567775;1155198
8577710;2567886;1172816
8595102;2567895;1133700
8595104;2567895;1133445
8579970;2567904;1121894
8570979;2568019;1102038
8582671;2568050;1206224
8587645;2568070;1113170
8504947;2568081;1180285
8581898;2568089;1173417
8587607;2568090;1114127
8570515;2568095;1192876
8570642;2567537;1124395
8595098;2567740;1132325
8580900;2568153;1124483
8582114;2568154;1120540
8583829;2568165;1200123
8504791;2568177;1176202
8504749;2568182;1156133
8504689;2568200;1125900
8582145;2568213;1260404
8579745;2568222;1196666
8571931;2568250;1233574
8570645;2568263;1124578
8582489;2568264;1208336
8570629;2568285;1132840
8593293;2568287;1163053
8576144;2612104;1198752
8570969;2568300;1102819
8504792;2568300;1174375
8570521;2568309;1196359
8531380;2568332;1135472
8570524;2568375;1197125
8577795;2568375;1180401
8580756;2568392;1102447
8582491;2568399;1209873
8576761;2568415;1220200
8507873;2605283;1179388
8570643;2568249;1123822
8531383;2568499;1135892
8531381;2568527;1135839
8570628;2568625;1133204
8504639;2568637;1183728
8577799;2568689;1183450
8580758;2568721;1195997
8593292;2568742;1162802
8583414;2568761;1102830
8588189;2568828;1228731
8570968;2568828;1103082
8576762;2568830;1219925
8570528;2568839;1199724
8570627;2568883;1133612
8500756;2568887;1232605
8531385;2568888;1136359
8595121;2568911;1163654
8583593;2568911;1109814
8577794;2568920;1180611
8582670;2568947;1210467
8579130;2568962;1127189
8583516;2568965;1191866
8571425;2602919;1188265
8577777;2569250;1168863
8504880;2569291;1156746
8530024;2569308;1156614
8500874;2569338;1235820
8595125;2569353;1163908
8583726;2569387;1189447
8587648;2569398;1110892
8583521;2569417;1189247
8583864;2569432;1103435
8572081;2569434;1248434
8588322;2614130;1134572
8571089;2631764;1129323
8571076;2633898;1127419
8590305;2667359;1257837
8591868;2681600;1223200
8577436;2688881;1205725
8580078;2721525;1079027
8594353;2747629;1257074
8576652;2580483;1117323
8591540;2697951;1108144
8501857;2508637;1142619
8504575;2569450;1197121
8570973;2569470;1104974
8595878;2569699;1185005
8570965;2569704;1103489
8500700;2569716;1232294
8570972;2569733;1105076
8504617;2569745;1184961
8500892;2569753;1226610
8570974;2569762;1105651
8577825;2569788;1191968
8583517;2569799;1191747
8595123;2569896;1163713
8580759;2569966;1194633
8583725;2570000;1197776
8531384;2570036;1136168
8583519;2570084;1192828
8500891;2570085;1228485
8571654;2605199;1179838
8578093;2608905;1226303
8592956;2508772;1122901
8570633;2570091;1133090
8588597;2570106;1168898
8504632;2570113;1183052
8570634;2570125;1132545
8595126;2570142;1163525
8593277;2570157;1162676
8570491;2570158;1181723
8583420;2570170;1250565
8504951;2570182;1219644
8579126;2570203;1127726
8587237;2570216;1163160
8501975;2570292;1134511
8570635;2570343;1132948
8570978;2570385;1105262
8571527;2570388;1208545
8500877;2570500;1239775
8579114;2570500;1127200
8577725;2570539;1163020
8583520;2570575;1193829
8595122;2570591;1163281
8595176;2570620;1185889
8588601;2570537;1168771
8530085;2570683;1110817
8570648;2570701;1123688
8583779;2570718;1256184
8504912;2570743;1163586
8589079;2594192;1190197
8577946;2595109;1225929
8571624;2610504;1187948
8581750;2570755;1202646
8593281;2570757;1162935
8588535;2571057;1165095
8504571;2570781;1202774
8593282;2570806;1162784
8588826;2570828;1185003
8570636;2570832;1133198
8504878;2570834;1173188
8570624;2570847;1134418
8500890;2570852;1228876
8570623;2570870;1134759
8571908;2570894;1213648
8577802;2570918;1185497
8593275;2570941;1163826
8594241;2570948;1160487
8504924;2570949;1168726
8577779;2570963;1165656
8596073;2570968;1191821
8530045;2570976;1130646
8570511;2570981;1198699
8570977;2571058;1105874
8593283;2571063;1163366
8583777;2571089;1254546
8594245;2571092;1161639
8583802;2571130;1105207
8570492;2571137;1181310
8583799;2571162;1106845
8593290;2571190;1165636
8587227;2575911;1190765
8593295;2595620;1197320
8590126;2601890;1197262
8571277;2583568;1134247
8580544;2571218;1104769
8582668;2571255;1211755
8577798;2571266;1182507
8504892;2571273;1199303
8583605;2571297;1106655
8583800;2571304;1105465
8576660;2571321;1211307
8580545;2571323;1104963
8571922;2571328;1215568
8530053;2571384;1131192
8576767;2571390;1229160
8570961;2571423;1105128
8501766;2571425;1133350
8582630;2571432;1106455
8577731;2571434;1161999
8593485;2571445;1163516
8501707;2571503;1126816
8583801;2571520;1105770
8504691;2571572;1123242
8504708;2571586;1158735
